0.8	63.8	0.05104
2.8	63.7	0.17836
3.5	63	0.2205
7	63.1	0.4417
9.8	62.6	0.61348
12.3	62.3	0.76629
14.3	61.9	0.88517
16.7	61.5	1.02705
17.3	60	1.038
18.3	56.5	1.03395
18.7	50.2	0.93874
18.9	45.3	0.85617
19.2	40.5	0.7776
19.4	35.3	0.68482
19.5	30.7	0.59865
19.6	25.7	0.50372
20	20.5	0.41
20.1	15.5	0.31155
20.1	10.6	0.21306
20.2	6.1	0.12322
