-2.00000000e-01 -5.40061087e-12 
-1.90000000e-01 -5.38061086e-12 
-1.80000000e-01 -5.36061086e-12 
-1.70000000e-01 -5.34061085e-12 
-1.60000000e-01 -5.32061085e-12 
-1.50000000e-01 -5.30061084e-12 
-1.40000000e-01 -5.28061083e-12 
-1.30000000e-01 -5.26061081e-12 
-1.20000000e-01 -5.24061079e-12 
-1.10000000e-01 -5.22061077e-12 
-1.00000000e-01 -5.20061073e-12 
-9.00000000e-02 -5.18061067e-12 
-8.00000000e-02 -5.16061058e-12 
-7.00000000e-02 -5.14061043e-12 
-6.00000000e-02 -5.12061022e-12 
-5.00000000e-02 -5.10060990e-12 
-4.00000000e-02 -5.08060944e-12 
-3.00000000e-02 -5.06060875e-12 
-2.00000000e-02 -5.04060775e-12 
-1.00000000e-02 -5.02060627e-12 
 3.12250226e-17 -5.00060409e-12 
 1.00000000e-02 -4.98060088e-12 
 2.00000000e-02 -4.96059615e-12 
 3.00000000e-02 -4.94058920e-12 
 4.00000000e-02 -4.92057896e-12 
 5.00000000e-02 -4.90056389e-12 
 6.00000000e-02 -4.88054171e-12 
 7.00000000e-02 -4.86050906e-12 
 8.00000000e-02 -4.84046099e-12 
 9.00000000e-02 -4.82039024e-12 
 1.00000000e-01 -4.80028610e-12 
 1.10000000e-01 -4.78013280e-12 
 1.20000000e-01 -4.75990714e-12 
 1.30000000e-01 -4.73957498e-12 
 1.40000000e-01 -4.71908602e-12 
 1.50000000e-01 -4.69836628e-12 
 1.60000000e-01 -4.67730682e-12 
 1.70000000e-01 -4.65574730e-12 
 1.80000000e-01 -4.63345167e-12 
 1.90000000e-01 -4.61007249e-12 
 2.00000000e-01 -4.58509834e-12 
 2.10000000e-01 -4.55777637e-12 
 2.20000000e-01 -4.52699841e-12 
 2.30000000e-01 -4.49113322e-12 
 2.40000000e-01 -4.44777961e-12 
 2.50000000e-01 -4.39340302e-12 
 2.60000000e-01 -4.32280059e-12 
 2.70000000e-01 -4.22831365e-12 
 2.80000000e-01 -4.09866864e-12 
 2.90000000e-01 -3.91727086e-12 
 3.00000000e-01 -3.65969283e-12 
 3.10000000e-01 -3.28997725e-12 
 3.20000000e-01 -2.75519485e-12 
 3.30000000e-01 -1.97743359e-12 
 3.40000000e-01 -8.42006713e-13 
 3.50000000e-01  8.19905054e-13 
 3.60000000e-01  3.25680418e-12 
 3.70000000e-01  6.83448705e-12 
 3.80000000e-01  1.20914071e-11 
 3.90000000e-01  1.98201693e-11 
 4.00000000e-01  3.11874908e-11 
 4.10000000e-01  4.79107826e-11 
 4.20000000e-01  7.25180791e-11 
 4.30000000e-01  1.08730654e-10 
 4.40000000e-01  1.62026235e-10 
 4.50000000e-01  2.40468053e-10 
 4.60000000e-01  3.55925207e-10 
 4.70000000e-01  5.25869050e-10 
 4.80000000e-01  7.76017465e-10 
 4.90000000e-01  1.14422725e-09 
 5.00000000e-01  1.68622374e-09 
 5.10000000e-01  2.48403479e-09 
 5.20000000e-01  3.65840564e-09 
 5.30000000e-01  5.38707366e-09 
 5.40000000e-01  7.93166882e-09 
 5.50000000e-01  1.16773112e-08 
 5.60000000e-01  1.71908988e-08 
 5.70000000e-01  2.53069070e-08 
 5.80000000e-01  3.72536865e-08 
 5.90000000e-01  5.48393728e-08 
 6.00000000e-01  8.07255471e-08 
 6.10000000e-01  1.18830065e-07 
 6.20000000e-01  1.74920022e-07 
 6.30000000e-01  2.57484601e-07 
 6.40000000e-01  3.79019903e-07 
 6.50000000e-01  5.57920228e-07 
 6.60000000e-01  8.21262041e-07 
 6.70000000e-01  1.20890198e-06 
 6.80000000e-01  1.77950915e-06 
 6.90000000e-01  2.61944463e-06 
 7.00000000e-01  3.85583221e-06 
 7.10000000e-01  5.67579847e-06 
 7.20000000e-01  8.35479435e-06 
 7.30000000e-01  1.22982844e-05 
 7.40000000e-01  1.81031139e-05 
 7.50000000e-01  2.66478404e-05 
 7.60000000e-01  3.92257040e-05 
 7.70000000e-01  5.77403574e-05 
 7.80000000e-01  8.49939837e-05 
 7.90000000e-01  1.25111405e-04 
 8.00000000e-01  1.84164370e-04 
